Artikel,Tag,Value
1,Tindakan,encerkan terlebih dahulu dengan air
1,Tindakan,memilih produk perawatan kulit
1,Tindakan,jangan menggunakan produk yang mengandung alkohol
1,Outcome,kulit menjadi lebih kering dan iritasi
1,Tindakan,produk perawatan yang mengandung alkohol
1,Objek,toner
1,Penyakit,kulit kering dan sensitif
1,Objek,toner lembut tanpa alkohol
1,Objek,produk pembersih (cleanser) yang terlalu kuat
1,Outcome,membuat kulit kering dan iritasi
1,Tindakan,pilihlah produk pembersih
1,Objek,label â€œhipoalergenikâ€
1,Penyakit,kulit kering dan sensitif
1,Tindakan,masker wajah
1,Outcome,menghilangkan komedo
1,Outcome,mengecilkan pori
1,Outcome,membuat kulit menjadi kering
1,Penyakit,kulit kering
1,Tindakan,pilihlah masker yang memberikan kelembapan dan dapat â€œmenenangkanâ€ kulit
1,Penyakit,komedo
1,Penyakit,pori yang besar
1,Tindakan,gunakan masker komedo di area tertentu yang bermasalah
1,Tindakan,riasan jenis bedak
1,Objek,powder
1,Tindakan,tanpa kilap
1,Outcome,tidak akan terlihat indah
1,Prakondisi,kulit yang kering
1,Tindakan,pilihlah riasan
1,Objek,jenis krim atau cair
1,Outcome,melekat dengan baik
1,Outcome,tahan lebih lama
1,Tindakan,riasan jenis bedak
1,Outcome,tampilan kulit kering menjadi semakin jelas dan bersisik
1,Penutup,demikian
1,Penutup,salam
2,Pasien,pria remaja
2,Usia pasien,15 tahun
2,Pertanyaan,kenapa
2,Penyakit,rambut sering rontok
2,Penyakit,ada cairan
2,Outcome,kembali seperti biasa
2,Pembuka,salam
2,Pembuka,simpati
2,Penyakit,kerontokan rambut
2,Penyebab,genetic
2,Penyebab,infeksi jamur
2,Penyebab,hipotiroid
2,Tindakan,pemeriksaan fisik langsung
2,Penyakit,kerontokan rambut
2,Tindakan,pertumbuhan rambut
2,Periode,2-6 tahun
2,Tindakan,rambut tumbuh 1 cm/bulan
2,Prakondisi,90% dari rambut di kepala tumbuh
2,Kapan,setiap saat
2,Prakondisi,10% sisanya dalam fase istirahat
2,Periode,2-3 bulan
2,Prakondisi,fase istirahat
2,Prakondisi,rambut baru mulai tumbuh pada tempat yang sama
2,Penyakit,rambut rontok
2,Kapan,setiap hari
2,Tindakan,rata-rata kulit kepala memiliki sekitar 100.000 helai rambut
2,Tindakan,secara kasar 50-100 helai rambut dapat rontok
2,Kapan,setiap hari
2,Prakondisi,batas normal
2,Penyakit,kerontokan
2,Outcome,rambut tipis
2,Prakondisi,rambut rontok sekitar lebih dari 100 helai rambut/hari
2,Penyebab,faktor herediter (keturunan)
2,Penyebab,faktor yang didapat (karena penyakit atau keadaan tertentu)
2,Penyebab,faktor herediter
2,Tindakan,tidak dapat disembuhkan
2,Tindakan,mencegah
2,Outcome,kerontokan rambut tidak terlalu cepat
2,Penyebab,faktor yang didapat
2,Penyebab,jamur pada kulit kepala
2,Penyebab,anemia
2,Penyebab,demam
2,Penyebab,sakit tifus
2,Penyebab,salah perawatan rambut
2,Tindakan,mencegah kerontokan rambut
2,Tindakan,banyak makan makanan
2,Objek,banyak mengandung protein dan zat besi
2,Tindakan,hindari stress
2,Tindakan,hindari obat-obatan yang mengganggu pertumbuhan rambut
2,Tindakan,rajin olah raga
2,Outcome,memperlancar peredaran darah
2,Tindakan,cukup istirahat
2,Tindakan,stop merokok
2,Tindakan,hindari pemakaian pengering rambut
2,Tindakan,hindari keramas dengan air panas
2,Tindakan,hindari pemakaian bahan - bahan kimia di rambut
2,Tindakan,lakukan
2,Outcome,kerontokan tidak kunjung berkurang
2,Tindakan,berkonsultasi ke dokter spesialis kulit
2,Tindakan,evaluasi
2,Penyebab,infeksi jamur pada kulit kepala
2,Tindakan,terapi
2,Tindakan,pemberian suntikan obat-obatan langsung pada kulit kepala (mesotherapy)
2,Tindakan,prp therapy
2,Tindakan,transplantasi rambut
2,Periode,jangka panjang
2,Penutup,terima kasih
2,Penutup,ajakan
2,Penutup,promosi
2,Penutup,harapan
3,Pasien,wanita remaja
3,Usia pasien,18 tahun
3,Penyakit,jerawat banyak seperti bruntusan meradang
3,Penyakit,iritasi
3,Penyebab,masker kopi
3,Pertanyaan,bagaimana cara menyembuhkan jerawat
3,Pembuka,salam
3,Pembuka,simpati
3,Penyakit,jerawat
3,Penyebab,belum diketahui
3,Penyebab,stress
3,Penyebab,faktor hormonal
3,Penyakit,komedo
3,Penyakit,jerawat
3,Penyebab,meningkatnya produksi hormon testosteron
3,Penyebab,hormon testosteron
3,Penyakit,jerawat
3,Tindakan,merangsang kelenjar minyak
3,Outcome,memproduksi minyak kulit secara berlebihan
3,Penyebab,kelenjar minyak terlalu aktif
3,Penyebab,keturunan
3,Penyebab,bakteri di pori-pori kulit
3,Tindakan,pengobatan jerawat
3,Penyakit,jerawat
3,Prakondisi,tidak dapat dikontrol
3,Tindakan,pengobatan
3,Prakondisi,pengendalian dari pola makan
3,Prakondisi,kebiasaan membersihkan wajah
3,Prakondisi,pengendalian stress
3,Penyakit,jerawat
3,Tindakan,diperdebatkan
3,Outcome,individual
3,Tindakan,dicoba
3,Outcome,hasil yang terbaik
3,Tindakan,diet rendah lemak
3,Tindakan,konsumsi produk susu yang terkontrol
3,Tindakan,konsumsi makanan rendah karbohidrat
3,Outcome,jerawat dapat membaik
3,Tindakan,mengontrol kadar gula dalam darah
3,Outcome,memperbaiki kondisi berjerawat
3,Tindakan,produk susu dan juga makanan berlemak dihindari
3,Prakondisi,peningkatan minyak dalam kelenjar sebasea kulit
3,Outcome,jerawat
3,Tindakan,pengobatan jerawat
3,Tindakan,mengurangi produksi minyak
3,Tindakan,melawan infeksi bakteri
3,Tindakan,mempercepat pergantian sel kulit
3,Tindakan,mengurangi peradangan
3,Periode,4-6 minggu pertama
3,Tindakan,obat-obatan jerawat
3,Tindakan,pengobatan luar
3,Tindakan,obat-obatan minum
3,Prakondisi,derajat keparahan jerawat
3,Tindakan,cucilah muka
3,Objek,sabun muka khusus untuk jerawat
3,Objek,sabun bayi
3,Kapan,2 kali sehari
3,Prakondisi,setelah beraktivitas atau berkeringat
3,Pertanyaan,sabun jenis apa
3,Penyakit,jerawat
3,Prakondisi,berukuran besar dan meradang
3,Tindakan,suntik kortikosteroid
3,Prakondisi,indikasi dan berada di bawah pengawasan dokter
3,Penutup,terima kasih
3,Penutup,ajakan
3,Penutup,promosi
3,Penutup,harapan
4,Pasien,wanita remaja
4,Usia pasien,14 tahun
4,Penyakit,jerawat
4,Penyakit,bruntusan
4,Periode,6 sd hingga smp kelas 9
4,Pertanyaan,rekomendasi skincare dari dokter
4,Tindakan,langsung beli online
4,Pembuka,salam
4,Pembuka,perkenalan
4,Pembuka,simpati
4,Penyakit,bekas jerawat
4,Tindakan,terapi laser
4,Tindakan,dermabrasi
4,Prakondisi,luas serta kedalaman bekas jerawat
4,Prakondisi,ringan
4,Penyakit,bekas jerawat
4,Tindakan,pemberian hidrokuinon 2% hanya tepat pada daerah bekas jerawat
4,Outcome,bekas jerawat memudar
4,Penyakit,bekas jerawat
4,Tindakan,pemberian krim malam
4,Objek,krim malam mengandung asam retinoate
4,Tindakan,diresepkan oleh dokter spesialis kulit dan kelamin
4,Tindakan,prosedur chemical peeling
4,Outcome,memudarkan atau bahkan menghilangkan bekas jerawat
4,Tindakan,pemberian krim malam yang mengandung asam retinoat
4,Tindakan,chemical peeling
4,Tindakan,mempercepat proses regenerasi kulit
4,Outcome,sel-sel kulit baru akan lebih cepat timbul
4,Tindakan,analisa
4,Prakondisi,kedalaman bekas jerawat
4,Prakondisi,jenis kulit
4,Prakondisi,reaksi alergi
4,Tindakan,memilih prosedur
4,Tindakan,melakukan prosedur
4,Tindakan,dipilihkan jenis cairan kimia dan konsentrasi/ kekuatan
4,Prakondisi,sesuai untuk kondisi kulit Anda
4,Tindakan,mengunjungi dokter spesialis kulit dan kelamin
4,Penutup,terima kasih
4,Penutup,ajakan
4,Penutup,promosi
5,Pasien,pria remaja
5,Usia pasien,15 tahun
5,Penyakit,ada bentolan kecil di bawah dagu sekitar 9-12
5,Penyakit,pucuk bentolan nya kayak putih putih
5,Tindakan,gak makan yang aneh aneh
5,Pertanyaan,bentolan apa itu?
5,Pembuka,salam
5,Pembuka,simpati
5,Penyakit,komedo
5,Penyakit,komedo
5,Gejala,penyumbatan pori-pori pada kulit
5,Gejala,menimbulkan titik hitam atau putih di wajah
5,Penyakit,komedo
5,Penyakit,komedo terbuka
5,Penyakit,komedo tertutup
5,Tindakan,penanganan komedo
5,Objek,krim
5,Objek,lotion acne
5,Penyakit,jerawat
5,Penyakit,komedo
5,Tindakan,ditangani sendiri di rumah dengan menggunakan obat-obatan yang dijual bebas
5,Objek,krim
5,Objek,lotion acne
5,Tindakan,ekstraksi komedo
5,Tindakan,tindakan yang dilakukan
5,Tindakan,ekstraksi komedo / jerawat
5,Objek,alat ekstraktor
5,Tindakan,pemberian krim
5,Tindakan,pemberian antibiotic
5,Tindakan,pemberian steroid
5,Tindakan,photodynamic therapy
5,Tindakan,tindakan laser
5,Prakondisi,berkonsultasi lebih lanjut dengan dokter
5,Prakondisi,keluhan yang sangat menganggu
5,Penutup,terima kasih
5,Penutup,ajakan
5,Penutup,promosi
5,Penutup,harapan
6,Pasien,pria remaja
6,Usia pasien,19 tahun
6,Penyakit,bekas jerawat
6,Pertanyaan,apakah aman
6,Tindakan,ingin mengobatinya pake salep retinoid
6,Pembuka,salam
6,Pembuka,simpati
6,Objek,retinoic acid
6,Penyakit,eritema (kemerahan)
6,Penyakit,peeling (kulit mengelupas)
6,Penyakit,kulit kering
6,Penyakit,fotosensitivitas (peka terhadap cahaya matahari)
6,Penyakit,perubahan warna kulit (hipopigmentasi/hiperpigmentasi)
6,Penyakit,bengkak
6,Penyakit,alergi
6,Objek,retinoic acid
6,Tindakan,mengurangi produksi sebum (kelenjar minyak)
6,Outcome,membuat kulit dan bibir menjadi kering
6,Kapan,awal penggunaan
6,Penyakit,jerawat yang muncul dapat lebih banyak
6,Tindakan,mengangkat komedo pada kulit
6,Tindakan,penggunaan obat kulit
6,Periode,tidak sebentar
6,Periode,3 bulan pemakaian
6,Tindakan,lanjutkan penggunaan cream retinoic acid
6,Kapan,setiap hari
6,Tindakan,tidak dapat menyebutkan merek krim retinoid
6,Tindakan,melakukan pemeriksaan dahulu ke dokter
6,Outcome,mendapatkan krim yang sesuai dengan kondisi kulit
6,Penutup,terima kasih
6,Penutup,ajakan
6,Penutup,promosi
7,Pasien,wanita dewasa
7,Usia pasien,24 tahun
7,Penyakit,rambut rontok banget
7,Tindakan,gonta ganti shampo
7,Outcome,tetap
7,Objek,sampo selsun 7
7,Kapan,akhir-akhir ini
7,Penyakit,rontok lagi
7,Tindakan,makan makanan sayur dan buah
7,Pertanyaan,bagaimana mengatasi rambut rontok
7,Pembuka,salam
7,Pembuka,simpati
7,Pembuka,simpati
7,Tindakan,pertumbuhan rambut
7,Periode,2-6 tahun
7,Tindakan,rambut tumbuh 1 cm/bulan
7,Prakondisi,90% dari rambut di kepala tumbuh
7,Kapan,setiap saat
7,Prakondisi,10% sisanya dalam fase istirahat
7,Periode,2-3 bulan
7,Prakondisi,fase istirahat
7,Prakondisi,rambut baru mulai tumbuh pada tempat yang sama
7,Penyakit,rambut rontok
7,Kapan,setiap hari
7,Tindakan,rata-rata kulit kepala memiliki sekitar 100.000 helai rambut
7,Tindakan,secara kasar 50-100 helai rambut dapat rontok
7,Kapan,setiap hari
7,Prakondisi,batas normal
7,Prakondisi,rambut rontok sekitar lebih dari 100 helai rambut/hari
7,Penyebab,faktor herediter (keturunan)
7,Penyebab,faktor yang didapat (karena penyakit atau keadaan tertentu)
7,Penyebab,faktor herediter
7,Tindakan,tidak dapat disembuhkan
7,Tindakan,mencegah
7,Outcome,kerontokan rambut tidak terlalu cepat
7,Penyebab,faktor yang didapat
7,Penyebab,jamur pada kulit kepala
7,Penyebab,anemia
7,Penyebab,demam
7,Penyebab,sakit tifus
7,Penyebab,salah perawatan rambut
7,Tindakan,mencegah kerontokan rambut
7,Tindakan,banyak makan makanan
7,Objek,banyak mengandung protein dan zat besi
7,Tindakan,hindari stress
7,Tindakan,hindari obat-obatan yang mengganggu pertumbuhan rambut
7,Tindakan,rajin olah raga
7,Outcome,memperlancar peredaran darah
7,Tindakan,cukup istirahat
7,Tindakan,stop merokok
7,Tindakan,hindari pemakaian pengering rambut
7,Tindakan,hindari keramas dengan air panas
7,Tindakan,hindari pemakaian bahan - bahan kimia di rambut
7,Penutup,terima kasih
7,Penutup,ajakan
7,Penutup,promosi
7,Penutup,harapan
8,Pasien,wanita remaja
8,Usia pasien,19 tahun
8,Tindakan,meminum obat
8,Objek,dohixat doxycycline
8,Penyakit,jerawat
8,Penyakit,sakit dibagian bawah rusuk
8,Penyakit,kesulitan makan karna sakit saat menelan makanan
8,Penyakit,panas dikerongkongan
8,Pertanyaan,efek samping doxycyline
8,Pembuka,salam
8,Pembuka,simpati
8,Objek,doxycyline
8,Penyakit,sakit perut
8,Penyakit,mual
8,Penyakit,muntah
8,Penyakit,ruam atau gatal pada kulit
8,Penyakit,gatal pada vagina
8,Penyakit,keluarnya cairan dari vagina
8,Penyakit,sakit kepala
8,Penyakit,mulut kering
8,Penyakit,iritasi pada tenggorokan
8,Prakondisi,keluhan mengganggu
8,Tindakan,diskusikan kembali dengan dokter yang meresepkan
8,Outcome,disarankan jalan keluar
8,Penutup,terima kasih
8,Penutup,ajakan
8,Penutup,promosi
8,Penutup,harapan
9,Pasien,wanita remaja
9,Usia pasien,19 tahun
9,Pertanyaan,facial wash yang cocok
9,Penyakit,wajah berminyak
9,Pembuka,simpati
9,Pembuka,permohonan maaf
9,Tindakan,menghindari bias promosi
9,Outcome,berpotensi bertentangan dengan etika profesi kedokteran
9,Penyebab,aktifitas kelenjar minyak (sebum) yang berlebihan
9,Penyakit,kulit berminyak
9,Gejala,permukaan kulit yang cenderung mengkilap
9,Penyakit,komedo
9,Penyakit,jerawat
9,Penyebab,banyaknya kandungan kalenjar minyak (sebum)
9,Outcome,mencegah kulit dari kekeringan
9,Prakondisi,lingkungan yang penuh kotoran dan debu yang tidak terlihat
9,Penyakit,kulit berminyak
9,Tindakan,menangkap kotoran dan debu yang tidak terlihat
9,Penyakit,kulit berminyak
9,Penyakit,jerawat
9,Penyakit,kulit berminyak
9,Penyebab,genetic
9,Penyebab,faktor cuaca
9,Penyebab,terlalu banyak menggunakan produk kecantikan
9,Penyebab,hormone
9,Penyebab,kehamilan
9,Penyebab,diet
9,Penyebab,menggunakan produk kecantikan yang salah
9,Penyebab,obat-obatan yang mengandung hormon
9,Objek,kontraspesi
9,Penyakit,kulit berminyak
9,Tindakan,bersihkan wajah
9,Kapan,2 kali sehari
9,Kapan,selesai beraktifitas
9,Kapan,setelah memakai make up
9,Tindakan,gunakan pembersih wajah khusus kulit berminyak
9,Tindakan,pilihlah pelembab yang berbahan dasar air
9,Tindakan,gunakan tabir surya dengan kekuatan SPF minimal 30
9,Kapan,setiap 2 jam sekali
9,Tindakan,pilih segala macam produk perawatan kulit yang bertanda non comedogenic
9,Tindakan,konsumsi vitamin A
9,Tindakan,minum air putih minimal 1
9,Kapan,per hari
9,Penutup,demikian
9,Penutup,harapan
10,Pasien,pria dewasa
10,Usia pasien,29 tahun
10,Penyakit,biduran kronis
10,Periode,4 bulan
10,Kapan,3 atau 4 hari
10,Tindakan,obati dengan antihistamin
10,Objek,cetirizine dosis 10 mg
10,Penyebab,belum di ketahui
10,Tindakan,coba bebagai cara utk mengindari penyebab biduran
10,Outcome,tetap selalu muncul
10,Pertanyaan,mengatasi biduran
10,Pembuka,terima kasih
10,Penyebab,berbeda-beda
10,Penyebab,alergi makanan
10,Penyebab,alergi terhadap tanaman
10,Penyebab,perubahan suhu atau cuaca
10,Penyebab,infeksi flu
10,Penyebab,konsumsi obat-obatan tertentu
10,Objek,obat penurun tekanan darah
10,Penyebab,terpapar pengawet atau pewarna makanan
10,Penyebab,stress
10,Penyebab,konsumsi alkohol dan kafein
10,Penyebab,gangguan tiroid
10,Tindakan,15â€“20% orang di seluruh dunia mengalami biduran sepanjang hidupnya
10,Tindakan,lebih sering terjadi pada wanita dan anak-anak
10,Penyakit,biduran
10,Tindakan,mudah untuk ditangani
10,Tindakan,konsumsi obat
10,Objek,antihistamin
10,Tindakan,kompres dingin pada area yang mengalami biduran
10,Outcome,mengurangi keluhan gatal
10,Penyakit,biduran
10,Penyebab,alergi dingin
10,Penyebab,alergi dingin
10,Tindakan,penggunaan kompres dingin tidak boleh dilakukan
10,Tindakan,hindari produk yang bersifat iritan
10,Outcome,reaksi alergi
10,Objek,pelembap atau body lotion
10,Tindakan,hindari berjemur di bawah terik matahari
10,Tindakan,hindari penggunaan pakaian
10,Objek,berbahan dasar wol
10,Tindakan,gunakan pakaian yang menyerap keringat dengan baik
10,Outcome,terasa nyaman
10,Tindakan,mengunjungi dokter
10,Gejala,biduran
10,Periode,beberapa hari
10,Prakondisi,tak kunjung membaik
10,Gejala,biduran
10,Prakondisi,semakin memburuk
10,Periode,waktu ke waktu
10,Gejala,ruam timbul disertai nyeri
10,Gejala,meninggalkan memar
10,Gejala,benar-benar mengganggu aktivitas
10,Periode,sehari-hari
10,Gejala,pusing berputar
10,Gejala,tenggorokan atau wajah menjadi bengkak
10,Gejala,sesak napas
10,Gejala,rasa tertekan di area dada
10,Penyebab,reaksi alergi
10,Tindakan,test alergi
10,Tindakan,pemeriksaaan
10,Outcome,menentukan kondisi yang mendasari biduran kronis
10,Tindakan,tes darah lengkap
10,Outcome,melihat apakah Anda menderita anemia atau tidak
10,Tindakan,pengambilan sampel feses
10,Outcome,mengetahui apakah terdapat infeksi di dalam usus
10,Tindakan,tes fungsi organ hati
10,Tindakan,tes fungsi tiroid
10,Tindakan,penghitungan tingkat antibodi di dalam darah
10,Tindakan,tes laju endap darah
10,Outcome,mengenali masalah dengan sistem kekebalan tubuh
10,Tindakan,konsultasi lanjut dengan dokter
10,Tindakan,pemeriksaan menyeluruh
10,Tindakan,penanganan lebih optimal
10,Penutup,demikian
10,Penutup,harapan
11,Pasien,wanita dewasa
11,Usia pasien,49 tahun
11,Penyakit,bagian perut sama dada ada bintik merah tapi tidak gatal
11,Pertanyaan,karena apa
11,Pembuka,terima kasih
11,Penyakit,bintik-bintik merah pada tubuh
11,Penyebab,alergi
11,Penyebab,infeksi
11,Penyebab,alergi
11,Penyebab,mekanisme alergi memang akan selalu muncul
11,Kapan,selama hal-hal yang menyebabkan alergi tersebut mengenai orang bersangkutan
11,Tindakan,dihindari
11,Tindakan,dicegah
11,Pertanyaan,apakah karena obat atau hal-hal tertentu
11,Tindakan,didiagnosis melalui pemeriksaan langsung
11,Tindakan,mengunjungi dokter
11,Gejala,bercak merah
11,Tindakan,pemeriksaan fisik
11,Penutup,demikian
11,Referensi,artikel
11,Referensi,jangan lakukan 5 hal ini pada kulit anda
11,Referensi,kulit sehat cerminan tubuh sehat
11,Penutup,terima kasih
11,Penutup,harapan
12,Pasien,pria remaja
12,Usia pasien,17 tahun
